CDS_ID	Start	End
lcl|NC_002942.5_cds_WP_010945770.1_8	11612	12871
lcl|NC_002942.5_cds_WP_010945774.1_12	15332	16909
lcl|NC_002942.5_cds_WP_010945800.1_37	44731	46254
lcl|NC_002942.5_cds_WP_016356699.1_40	48215	50431
lcl|NC_002942.5_cds_WP_010945807.1_45	54060	54272
lcl|NC_002942.5_cds_WP_016356705.1_60	66090	67181
lcl|NC_002942.5_cds_LPG_RS00305_61	67223	67582
lcl|NC_002942.5_cds_WP_010945841.1_81	89551	90318
lcl|NC_002942.5_cds_WP_010945842.1_82	90308	91633
lcl|NC_002942.5_cds_WP_010945851.1_91	99689	103663
lcl|NC_002942.5_cds_WP_010945857.1_97	109946	111139
lcl|NC_002942.5_cds_WP_010945864.1_104	118383	119243
lcl|NC_002942.5_cds_WP_010945881.1_120	137421	137951
lcl|NC_002942.5_cds_WP_010945887.1_126	143588	146896
lcl|NC_002942.5_cds_WP_010945896.1_136	157650	163277
lcl|NC_002942.5_cds_WP_015444229.1_143	173431	174849
lcl|NC_002942.5_cds_WP_010945905.1_144	174882	176057
lcl|NC_002942.5_cds_WP_223804307.1_145	176091	176552
lcl|NC_002942.5_cds_WP_102990622.1_146	176652	177562
lcl|NC_002942.5_cds_WP_010945921.1_162	192160	193137
lcl|NC_002942.5_cds_WP_010945932.1_172	200453	201019
lcl|NC_002942.5_cds_WP_010945933.1_173	201209	201934
lcl|NC_002942.5_cds_WP_010945942.1_182	211023	211934
lcl|NC_002942.5_cds_WP_010945946.1_186	215391	216131
lcl|NC_002942.5_cds_WP_010945952.1_191	221236	222189
lcl|NC_002942.5_cds_WP_010945956.1_194	225828	226832
lcl|NC_002942.5_cds_WP_010945957.1_195	227034	228308
lcl|NC_002942.5_cds_WP_015444913.1_206	238812	241697
lcl|NC_002942.5_cds_WP_010945971.1_208	243721	244344
lcl|NC_002942.5_cds_WP_010945988.1_225	260923	262029
lcl|NC_002942.5_cds_WP_015444908.1_232	272577	277064
lcl|NC_002942.5_cds_WP_010946001.1_238	284008	284787
lcl|NC_002942.5_cds_WP_010946007.1_244	293014	293739
lcl|NC_002942.5_cds_WP_010946011.1_248	296785	298029
lcl|NC_002942.5_cds_WP_010946018.1_255	303412	304404
lcl|NC_002942.5_cds_WP_010946021.1_258	308513	308911
lcl|NC_002942.5_cds_WP_010946022.1_260	309426	309605
lcl|NC_002942.5_cds_WP_015444895.1_268	316864	318363
lcl|NC_002942.5_cds_WP_010946036.1_274	323554	326904
lcl|NC_002942.5_cds_WP_010946037.1_275	327062	328561
lcl|NC_002942.5_cds_WP_010946045.1_283	338278	339402
lcl|NC_002942.5_cds_WP_010946046.1_284	339639	340322
lcl|NC_002942.5_cds_WP_010946055.1_294	350967	351659
lcl|NC_002942.5_cds_WP_010946067.1_303	366774	367145
lcl|NC_002942.5_cds_WP_014840959.1_336	391997	393325
lcl|NC_002942.5_cds_WP_010946113.1_351	404182	404487
lcl|NC_002942.5_cds_WP_010946114.1_352	404662	407352
lcl|NC_002942.5_cds_WP_010946115.1_353	407663	408496
lcl|NC_002942.5_cds_WP_010946124.1_363	414141	414740
lcl|NC_002942.5_cds_WP_010946125.1_364	414780	419069
lcl|NC_002942.5_cds_WP_010946139.1_377	431953	433011
lcl|NC_002942.5_cds_WP_010946150.1_388	440213	440887
lcl|NC_002942.5_cds_WP_010946151.1_389	441321	443024
lcl|NC_002942.5_cds_WP_010946152.1_390	443204	444748
lcl|NC_002942.5_cds_WP_010946154.1_392	446478	447068
lcl|NC_002942.5_cds_WP_010946171.1_411	462427	463776
lcl|NC_002942.5_cds_WP_010946185.1_425	473739	474548
lcl|NC_002942.5_cds_WP_010946186.1_426	474811	476811
